,algo,n_clusters_found,n_clusters_db_score_is_min,n_clusters_ch_score_is_max,n_clusters_silhouette_score_is_max,silhouette_score,hopkins_statistic,umap_n_neighbors,umap_min_dist,umap_metric,umap_n_components,trustworthiness,eps,dbscan_min_samples,validity_index,cluster_labels
0,dbscan,38,,,,,0.23346598184966277,5,0.01,euclidean,2,0.9896386869373403,0.19404765666034446,6,-0.4569558983111058,[0 1 0 ... 3 0 6]
1,dbscan,8,,,,,0.2538683025078454,5,0.01,manhattan,2,0.9875492875568916,0.32705361362990204,6,-0.06666541315246687,[0 1 0 ... 1 0 4]
2,dbscan,7,,,,,0.24392432449802504,10,0.01,euclidean,2,0.9841709461765777,0.2312718678812665,5,0.10497118118632143,[0 1 0 ... 3 0 5]
3,dbscan,6,,,,,0.26069330622120335,10,0.01,manhattan,2,0.9813718982596389,0.3122836311316168,6,-0.023137961911798042,[0 1 0 ... 1 0 4]
4,dbscan,5,,,,,0.24433513993535447,15,0.01,euclidean,2,0.9811265832084809,0.2045918637843876,6,0.7058666483794744,[0 1 0 ... 1 0 4]
5,dbscan,5,,,,,0.24492362755855512,15,0.01,manhattan,2,0.9782105146344451,0.23307201742870065,6,-0.009214727020604989,[0 1 0 ... 1 0 3]
6,dbscan,88,,,,,0.2684507968260741,5,0.05,euclidean,2,0.9892383972982661,0.15722815091549872,6,-0.41399928653121476,[ 0  1  0 ...  4  0 13]
7,dbscan,83,,,,,0.2848981449691166,5,0.05,manhattan,2,0.987075728848012,0.1843770913196593,6,-0.4060622025522858,[0 1 0 ... 1 0 8]
8,dbscan,5,,,,,0.27176018970494825,10,0.05,euclidean,2,0.9795180773578417,0.2541446820079165,6,0.19635220672856085,[0 1 0 ... 1 0 4]
9,dbscan,5,,,,,0.2759538285574897,10,0.05,manhattan,2,0.9808046816391374,0.2887265585470042,6,0.0010043773200816772,[0 1 0 ... 1 0 4]
10,dbscan,4,,,,,0.25853376120981575,15,0.05,euclidean,2,0.9792807815222672,0.2766713368556902,5,0.6046863503693324,[0 1 0 ... 1 0 1]
11,dbscan,6,,,,,0.2892319421762929,15,0.05,manhattan,2,0.9777513592938968,0.31309261955729345,6,0.053198346969286284,[0 1 0 ... 1 0 4]
12,dbscan,42,,,,,0.3012332731244453,5,0.1,euclidean,2,0.9856629943717172,0.1906387960221697,5,-0.6136598981902669,[0 1 0 ... 3 0 5]
13,dbscan,2,,,,,0.3189012398976975,5,0.1,manhattan,2,0.9840825422212218,0.4043544453750946,6,-0.1586259833492345,[0 0 0 ... 0 0 0]
14,dbscan,7,,,,,0.2941687045033104,10,0.1,euclidean,2,0.9795799692902424,0.22668662433731399,6,-0.04283449421656064,[0 6 0 ... 2 0 4]
15,dbscan,7,,,,,0.2959163937405051,10,0.1,manhattan,2,0.9798325605717841,0.25206788304076727,6,-0.4122764794625967,[0 1 0 ... 1 0 3]
16,dbscan,5,,,,,0.28783355100283,15,0.1,euclidean,2,0.9763689794126224,0.24621952059337118,6,0.0556343087085267,[0 1 0 ... 1 0 1]
17,dbscan,4,,,,,0.3125586182723469,15,0.1,manhattan,2,0.9765262139091483,0.3394692584365899,6,-0.038665873113782126,[0 1 0 ... 1 0 1]
18,dbscan,5,,,,,0.11014305397762583,5,0.01,euclidean,3,0.9955560525208169,0.43560216691457593,6,0.26107024695750536,[0 1 0 ... 1 0 1]
19,dbscan,9,,,,,0.09847335337275658,5,0.01,manhattan,3,0.9932941264036903,0.4378363917479905,6,0.030164895031365824,[0 1 0 ... 1 0 4]
20,dbscan,5,,,,,0.13125200449177699,10,0.01,euclidean,3,0.9932167809299116,0.4044343816953604,6,0.44141595719488846,[0 1 0 ... 1 0 4]
21,dbscan,8,,,,,0.12086161612462153,10,0.01,manhattan,3,0.9872976408941294,0.3127142249539122,6,0.10404890096604422,[0 1 0 ... 1 0 4]
22,dbscan,4,,,,,0.13991653232074233,15,0.01,euclidean,3,0.9918519076758734,0.43914282314657815,6,0.7564793958659264,[0 1 0 ... 1 0 1]
23,dbscan,6,,,,,0.12551418433741093,15,0.01,manhattan,3,0.984948306175067,0.4223187696571211,6,0.5927635294721825,[0 1 0 ... 1 0 4]
24,dbscan,4,,,,,0.13521566914525796,5,0.05,euclidean,3,0.9955601529703146,0.5290753787222162,6,0.27501153352448504,[0 1 0 ... 1 0 1]
25,dbscan,8,,,,,0.11899684689895183,5,0.05,manhattan,3,0.9930700361905176,0.4489697605061541,6,0.06963427480098575,[0 1 0 ... 1 0 4]
26,dbscan,4,,,,,0.1560806072987133,10,0.05,euclidean,3,0.9931848708913512,0.4471750861045224,5,0.645430074523605,[0 1 0 ... 1 0 1]
27,dbscan,8,,,,,0.13851499396064673,10,0.05,manhattan,3,0.9869887881005457,0.28899528755773757,6,0.035136937942933516,[0 1 0 ... 1 0 4]
28,dbscan,4,,,,,0.1608773689187138,15,0.05,euclidean,3,0.991114635882605,0.4111324768117862,6,0.7267281534955983,[0 1 0 ... 1 0 1]
29,dbscan,6,,,,,0.1435825761655511,15,0.05,manhattan,3,0.9845751577966417,0.3590819778695343,6,0.4961486442520901,[0 1 0 ... 1 0 4]
30,dbscan,7,,,,,0.15950072005764043,5,0.1,euclidean,3,0.9951794344439907,0.4258582508332314,6,-0.33916255887760005,[0 1 0 ... 1 0 1]
31,dbscan,6,,,,,0.14778130591513228,5,0.1,manhattan,3,0.9931664269993903,0.5227046100746389,5,0.03125113179273738,[0 1 0 ... 1 0 4]
32,dbscan,5,,,,,0.1808378068303732,10,0.1,euclidean,3,0.9933728612187764,0.4853572889165043,6,0.26437637669456604,[0 1 0 ... 1 0 1]
33,dbscan,4,,,,,0.1630096214745071,10,0.1,manhattan,3,0.9872410600060982,0.47309949103099586,6,0.3359237310164338,[0 1 0 ... 1 0 3]
34,dbscan,4,,,,,0.1846103196741861,15,0.1,euclidean,3,0.9920809806950704,0.4386192933209444,6,0.530747835592478,[0 1 0 ... 1 0 1]
35,dbscan,5,,,,,0.16613500687071706,15,0.1,manhattan,3,0.9839909286517747,0.31843336424559526,6,0.20820463011903773,[0 1 0 ... 1 0 3]
